,A,B,CLASS
0,941,949.5,1
1,941,949.3,1
2,941,949.3,1
3,941,949.3,1
4,941,949.2,1
5,941,949.4,1
6,941,949.5,1
7,941,949.2,1
8,941,949.3,1
9,941,949.1,1
10,941,949.2,1
11,941,949.3,1
12,941,949.3,1
13,941,949.4,1
14,941,949.2,1
15,941,949.4,1
16,941,949.1,1
17,941,949.1,1
18,941,949.3,1
19,941,949.4,1
20,941,949.2,1
21,941,949.2,1
22,941,949.1,1
23,941,949.2,1
24,941,949.3,1
25,941,949.1,1
26,941,949.3,1
27,941,949.2,1
28,941,949.1,1
29,941,949.2,1
30,941,949.2,1
31,941,949.3,1
32,941,949.2,1
33,941,949.3,1
34,941,949.4,1
35,941,949.3,1
36,941,949.2,1
37,941,949.4,1
38,941,949.2,1
39,941,949.4,1
40,941,949.5,1
41,941,949.3,1
42,941,949.4,1
43,941,949.5,1
44,941,949.2,1
45,941,949.4,1
46,941,949.4,1
47,941,949.3,1
48,941,949.3,1
49,941,949.4,1
50,917.4,931.7,2
51,917.2,931.6,2
52,916.8,931.6,2
53,917.4,931.2,2
54,917.2,932,2
55,917.2,932.3,2
56,917,931.5,2
57,916.8,931.4,2
58,916.8,931.3,2
59,916.6,931.9,2
60,917,932.3,2
61,917.2,931.6,2
62,917.4,932.3,2
63,917.6,932.6,2
64,917.2,932,2
65,916.6,931.2,2
66,917,931.7,2
67,917.4,932.6,2
68,916.8,931.7,2
69,916.8,931.7,2
70,917.6,932.2,2
71,917.2,931.4,2
72,917,932,2
73,917.2,931.8,2
74,916.8,931.8,2
75,917.2,931.8,2
76,916.8,931.8,2
77,917,932.4,2
78,916.8,931.9,2
79,917.2,932.2,2
80,916.8,931.8,2
81,917,931.7,2
82,916.8,932.1,2
83,917,931.3,2
84,917.2,932,2
85,917.4,932.4,2
86,917,931.4,2
87,917.2,932.2,2
88,916.8,932.3,2
89,917.2,931.3,2
90,917.4,931.4,2
91,916.6,932.1,2
92,917,931.6,2
93,917,931.7,2
94,917,932.2,2
95,917.2,931.2,2
96,917,931.7,2
97,916.8,931.3,2
98,916.6,931.5,2
99,917.2,931.6,2
100,915,937.4,3
101,915,938.8,3
102,915,937.9,3
103,915,938.5,3
104,915,939.1,3
105,915,938.1,3
106,915,938,3
107,915,939.5,3
108,915,938.8,3
109,915,938.6,3
110,915,939.2,3
111,915,939.7,3
112,915,939.1,3
113,915,938.3,3
114,915,939.1,3
115,915,938,3
116,915,938,3
117,915,938.4,3
118,915,938.5,3
119,915,938.7,3
120,915,938.4,3
121,915,938.4,3
122,915,939.1,3
123,915,938.5,3
124,915,938.1,3
125,915,938.6,3
126,915,939.1,3
127,915,937.8,3
128,915,938,3
129,915,938.2,3
130,915,938.6,3
131,915,938.4,3
132,915,938.8,3
133,915,939,3
134,915,938.2,3
135,915,938.1,3
136,915,938.8,3
137,915,937.5,3
138,915,939.1,3
139,915,937.8,3
140,915,939.1,3
141,915,937.8,3
142,915,939,3
143,915,938.4,3
144,915,938,3
145,915,938.6,3
146,915,938,3
147,915,939.1,3
148,915,938.3,3
149,915,939.2,3
150,909,1010,4
151,909,1010,4
152,909,1009.9,4
153,909,1010.1,4
154,909,1009.9,4
155,909,1009.7,4
156,909,1010,4
157,909,1010,4
158,909,1010,4
159,909,1010,4
160,909,1010,4
161,909,1010,4
162,909,1010,4
163,909,1009.9,4
164,909,1009.9,4
165,909,1010.1,4
166,909,1010,4
167,909,1009.8,4
168,909,1009.9,4
169,909,1010,4
170,909,1009.9,4
171,909,1010,4
172,909,1010.1,4
173,909,1010,4
174,909,1009.9,4
175,909,1009.8,4
176,909,1010,4
177,909,1010.2,4
178,909,1010,4
179,909,1009.9,4
180,909,1010,4
181,909,1010,4
182,909,1010,4
183,909,1010,4
184,909,1009.8,4
185,909,1010,4
186,909,1010,4
187,909,1009.9,4
188,909,1009.8,4
189,909,1009.9,4
190,909,1009.9,4
191,909,1009.8,4
192,909,1009.8,4
193,909,1010,4
194,909,1010,4
195,909,1009.9,4
196,909,1010,4
197,909,1009.8,4
198,909,1010,4
199,909,1009.9,4
200,868,1123.8,5
201,868,1124.4,5
202,868,1124.1,5
203,868,1123.5,5
204,868,1123.8,5
205,868,1123.8,5
206,868,1123.8,5
207,868,1123.8,5
208,868,1124.1,5
209,868,1123.5,5
210,868,1124.4,5
211,868,1124.7,5
212,868,1124.7,5
213,868,1124.7,5
214,868,1124.4,5
215,868,1124.4,5
216,868,1123.5,5
217,868,1124.1,5
218,868,1123.8,5
219,868,1124.7,5
220,868,1124.1,5
221,868,1124.4,5
222,868,1125,5
223,868,1124.4,5
224,868,1124.1,5
225,868,1124.1,5
226,868,1123.8,5
227,868,1124.1,5
228,868,1124.1,5
229,868,1124.4,5
230,868,1124.7,5
231,868,1124.4,5
232,868,1124.7,5
233,868,1124.1,5
234,868,1124.4,5
235,868,1124.7,5
236,868,1124.7,5
237,868,1124.1,5
238,868,1124.7,5
239,868,1124.4,5
240,868,1124.7,5
241,868,1124.7,5
242,868,1125,5
243,868,1123.8,5
244,868,1124.1,5
245,868,1124.7,5
246,868,1124.4,5
247,868,1124.4,5
248,868,1124.7,5
249,868,1124.4,5
