,0,1,2,3,4,5,6,7,8,9
0,801.0,1051.0,784.0,1200.0,905.0,953.0,883.0,955.0,912.0,970.0
1,859.0,1047.0,780.0,1214.0,901.0,945.0,897.0,957.0,888.0,970.0
2,853.0,1053.0,834.0,1212.0,901.0,959.0,895.0,955.0,916.0,970.0
3,875.0,1053.0,834.0,1194.0,891.0,941.0,897.0,957.0,922.0,956.0
4,859.0,1047.0,784.0,1206.0,905.0,939.0,873.0,965.0,912.0,976.0
5,847.0,1045.0,834.0,1200.0,905.0,939.0,897.0,951.0,920.0,968.0
6,877.0,1045.0,834.0,1202.0,901.0,943.0,885.0,959.0,918.0,968.0
7,877.0,1045.0,780.0,1218.0,905.0,941.0,895.0,965.0,910.0,972.0
8,875.0,1061.0,784.0,1196.0,895.0,939.0,897.0,953.0,862.0,968.0
9,847.0,1049.0,782.0,1236.0,897.0,957.0,895.0,951.0,922.0,956.0
10,877.0,1047.0,836.0,1202.0,899.0,949.0,897.0,961.0,920.0,976.0
11,877.0,1063.0,836.0,1202.0,905.0,939.0,885.0,959.0,878.0,972.0
12,873.0,1047.0,776.0,1216.0,905.0,943.0,881.0,965.0,912.0,974.0
13,877.0,1055.0,834.0,1202.0,905.0,945.0,895.0,961.0,922.0,970.0
14,877.0,1047.0,834.0,1202.0,897.0,959.0,889.0,975.0,920.0,976.0
15,877.0,1067.0,834.0,1198.0,905.0,941.0,897.0,951.0,922.0,962.0
16,877.0,1047.0,840.0,1196.0,893.0,943.0,893.0,951.0,910.0,964.0
17,877.0,1047.0,834.0,1198.0,905.0,941.0,885.0,955.0,910.0,1002.0
18,849.0,1051.0,784.0,1214.0,897.0,937.0,895.0,955.0,912.0,978.0
19,875.0,1045.0,838.0,1204.0,889.0,939.0,885.0,967.0,922.0,956.0
20,877.0,1045.0,784.0,1148.0,905.0,943.0,895.0,961.0,910.0,968.0
21,877.0,1047.0,838.0,1212.0,905.0,939.0,883.0,953.0,874.0,976.0
22,875.0,1027.0,838.0,1202.0,891.0,941.0,885.0,965.0,912.0,970.0
23,877.0,1047.0,834.0,1236.0,901.0,941.0,887.0,953.0,888.0,972.0
24,877.0,1057.0,835.0,1213.0,905.0,947.0,881.0,953.0,910.0,976.0
25,877.0,1049.0,772.0,1200.0,903.0,943.0,895.0,983.0,860.0,980.0
26,855.0,1099.0,780.0,1200.0,901.0,949.0,891.0,951.0,922.0,958.0
27,875.0,1049.0,838.0,1216.0,903.0,941.0,885.0,949.0,888.0,972.0
28,877.0,1053.0,784.0,1208.0,901.0,939.0,881.0,961.0,882.0,1016.0
29,857.0,1065.0,784.0,1186.0,905.0,939.0,865.0,1009.0,912.0,976.0
30,877.0,1045.0,780.0,1202.0,899.0,939.0,887.0,959.0,884.0,970.0
31,877.0,1045.0,800.0,1192.0,905.0,939.0,881.0,981.0,922.0,970.0
32,877.0,1053.0,836.0,1252.0,899.0,943.0,895.0,953.0,912.0,1008.0
33,859.0,1047.0,838.0,1188.0,893.0,937.0,897.0,957.0,888.0,970.0
34,847.0,1063.0,778.0,1202.0,885.0,949.0,897.0,957.0,912.0,974.0
35,877.0,1045.0,834.0,1196.0,903.0,951.0,797.0,1019.0,922.0,972.0
36,877.0,1055.0,838.0,1186.0,901.0,939.0,895.0,951.0,910.0,972.0
37,875.0,1047.0,784.0,1212.0,883.0,939.0,897.0,949.0,874.0,1000.0
38,877.0,1047.0,838.0,1212.0,893.0,941.0,893.0,959.0,922.0,970.0
39,859.0,1051.0,796.0,1192.0,903.0,943.0,887.0,975.0,888.0,974.0
40,877.0,1047.0,836.0,1206.0,901.0,939.0,877.0,951.0,916.0,970.0
41,875.0,1045.0,838.0,1202.0,905.0,937.0,877.0,955.0,916.0,976.0
42,847.0,1047.0,834.0,1212.0,905.0,947.0,897.0,963.0,886.0,978.0
43,875.0,1047.0,784.0,1202.0,901.0,937.0,897.0,965.0,922.0,974.0
44,877.0,1049.0,782.0,1196.0,901.0,939.0,881.0,971.0,886.0,976.0
45,857.0,1049.0,760.0,1246.0,899.0,951.0,895.0,951.0,872.0,984.0
46,833.0,1081.0,834.0,1194.0,889.0,949.0,877.0,959.0,912.0,972.0
47,849.0,1075.0,834.0,1202.0,903.0,959.0,897.0,959.0,910.0,978.0
48,877.0,1047.0,784.0,1198.0,901.0,945.0,879.0,959.0,922.0,962.0
49,847.0,1047.0,780.0,1202.0,905.0,949.0,881.0,961.0,876.0,972.0
