,A,B,CLASS
0,941,949,1
1,941,949,1
2,941,949,1
3,941,949,1
4,941,949,1
5,941,949,1
6,941,949,1
7,941,949,1
8,941,949,1
9,941,949,1
10,941,949,1
11,941,949,1
12,941,949,1
13,941,949,1
14,941,949.1,1
15,941,949,1
16,941,949,1
17,941,949,1
18,941,949.1,1
19,941,948.9,1
20,941,949,1
21,941,949,1
22,941,949,1
23,941,949,1
24,941,949,1
25,941,949,1
26,941,949,1
27,941,949,1
28,941,949,1
29,941,949,1
30,941,949,1
31,941,949,1
32,941,949,1
33,941,949,1
34,941,949,1
35,941,949,1
36,941,949,1
37,941,949,1
38,941,949,1
39,941,949,1
40,941,949,1
41,941,949,1
42,941,949,1
43,941,949,1
44,941,949,1
45,941,949,1
46,941,949,1
47,941,949,1
48,941,949.1,1
49,941,949,1
50,918,929.5,2
51,918,929.1,2
52,918,929.8,2
53,918,929.3,2
54,918,929.3,2
55,918,930,2
56,918,929.6,2
57,918,929.7,2
58,918,929.2,2
59,918,928.6,2
60,918,929.2,2
61,918,929.4,2
62,918,929.5,2
63,918,929.3,2
64,918,929.4,2
65,918,929.8,2
66,918,928.9,2
67,918,929.8,2
68,918,929.8,2
69,918,929.7,2
70,918,929.5,2
71,918,929.8,2
72,918,929.5,2
73,918,929.6,2
74,918,929.1,2
75,918,929.4,2
76,918,929.7,2
77,918,929.5,2
78,918,929.2,2
79,918,929.8,2
80,918,929.8,2
81,918,929.7,2
82,918,930,2
83,918,929.8,2
84,918,929.4,2
85,918,929.2,2
86,918,929.7,2
87,918,929.5,2
88,918,929.1,2
89,918,929.4,2
90,918,929.6,2
91,918,929.8,2
92,918,929.8,2
93,918,929.3,2
94,918,929.1,2
95,918,930,2
96,918,929.6,2
97,918,929,2
98,918,929.1,2
99,918,929.6,2
100,915,939.6,3
101,915,939.9,3
102,915,939.2,3
103,915,938.9,3
104,915,940.5,3
105,915,940.4,3
106,915,938.9,3
107,915,939.9,3
108,915,940,3
109,915,939.8,3
110,915,941,3
111,915,940.2,3
112,915,940.6,3
113,915,940.5,3
114,915,940.3,3
115,915,939.6,3
116,915,939.9,3
117,915,940.2,3
118,915,940.2,3
119,915,939.6,3
120,915,941.1,3
121,915,939.6,3
122,915,939.8,3
123,915,940.4,3
124,915,939.5,3
125,915,939.2,3
126,915,940.3,3
127,915,938.8,3
128,915,939.8,3
129,915,939.9,3
130,915,940.5,3
131,915,939.5,3
132,915,939.6,3
133,915,940.2,3
134,915,939.4,3
135,915,939.8,3
136,915,939.9,3
137,915,940.2,3
138,915,940.7,3
139,915,939.6,3
140,915,941,3
141,915,939.3,3
142,915,939.9,3
143,915,940.5,3
144,915,939.6,3
145,915,939.6,3
146,915,939.3,3
147,915,939.9,3
148,915,939.5,3
149,915,941,3
150,908.4,1006.5,4
151,908.7,1005.9,4
152,908.6,1005,4
153,908.9,1006.9,4
154,908.7,1007,4
155,908.7,1005,4
156,908.8,1006.5,4
157,909,1005,4
158,908.8,1006.5,4
159,908.8,1005,4
160,908.2,1008.6,4
161,908.9,1008.6,4
162,909,1006.5,4
163,909,1006,4
164,909,1008,4
165,909,1007,4
166,909,1008.1,4
167,908.3,1006,4
168,909,1005.5,4
169,909,1006.5,4
170,908.8,1006.4,4
171,909,1007.6,4
172,909,1006.5,4
173,909,1007.1,4
174,909,1006.4,4
175,909,1005,4
176,909,1005.5,4
177,909,1005.1,4
178,909,1006.8,4
179,909,1008.2,4
180,908.9,1007.5,4
181,909,1005.5,4
182,908.8,1005.5,4
183,909,1007.1,4
184,908.9,1008.1,4
185,909,1006,4
186,908.9,1005.5,4
187,908.6,1006,4
188,909,1005.5,4
189,908.8,1005.4,4
190,909,1007,4
191,908.9,1005.5,4
192,908.9,1005.5,4
193,908.7,1005,4
194,908.7,1006.4,4
195,908.9,1006,4
196,908.6,1005.3,4
197,908.9,1005.9,4
198,909,1006,4
199,908.5,1005,4
200,868,1122.6,5
201,868,1123,5
202,868,1123,5
203,868,1122.6,5
204,868,1122,5
205,868,1122.1,5
206,868,1122.3,5
207,868,1122,5
208,868,1122.9,5
209,868,1122,5
210,868,1122.4,5
211,868,1122.6,5
212,868,1123.4,5
213,868,1122.2,5
214,868,1122.5,5
215,868,1121.9,5
216,868,1122,5
217,868,1123,5
218,868,1122.6,5
219,868,1123.6,5
220,868,1122.2,5
221,868,1122,5
222,868,1122.7,5
223,868,1123,5
224,868,1123,5
225,868,1121.8,5
226,868,1122,5
227,868,1122,5
228,868,1122,5
229,868,1122.3,5
230,868,1122.7,5
231,868,1122,5
232,868,1122.6,5
233,868,1123.4,5
234,868,1120.7,5
235,868,1122,5
236,868,1122.5,5
237,868,1122.9,5
238,868,1122.4,5
239,868,1122.2,5
240,868,1122.8,5
241,868,1122,5
242,868,1122,5
243,868,1122.3,5
244,868,1122.1,5
245,868,1122.1,5
246,868,1122.1,5
247,868,1123,5
248,868,1122.5,5
249,868,1122.7,5
