,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941
1,949.5,949.3,949.3,949.3,949.2,949.4,949.5,949.2,949.3,949.1,949.2,949.3,949.3,949.4,949.2,949.4,949.1,949.1,949.3,949.4,949.2,949.2,949.1,949.2,949.3,949.1,949.3,949.2,949.1,949.2,949.2,949.3,949.2,949.3,949.4,949.3,949.2,949.4,949.2,949.4,949.5,949.3,949.4,949.5,949.2,949.4,949.4,949.3,949.3,949.4
2,917.4,917.2,916.8,917.4,917.2,917.2,917,916.8,916.8,916.6,917,917.2,917.4,917.6,917.2,916.6,917,917.4,916.8,916.8,917.6,917.2,917,917.2,916.8,917.2,916.8,917,916.8,917.2,916.8,917,916.8,917,917.2,917.4,917,917.2,916.8,917.2,917.4,916.6,917,917,917,917.2,917,916.8,916.6,917.2
3,931.7,931.6,931.6,931.2,932,932.3,931.5,951.4,931.3,931.9,932.3,931.6,932.3,932.6,932,931.2,931.7,932.6,931.7,931.7,932.2,931.4,932,931.8,931.8,931.8,931.8,932.4,931.9,932.2,931.8,931.7,932.1,931.3,932,932.4,931.4,932.2,932.3,931.3,931.4,932.1,931.6,931.7,932.2,931.2,931.7,931.3,931.5,931.6
4,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915
5,937.4,938.8,937.9,938.5,939.1,938.1,938,939.5,938.8,938.6,939.2,939.7,939.1,938.3,939.1,938,938,938.4,938.5,938.7,938.4,938.4,939.1,938.5,938.1,938.6,939.1,937.8,938,938.2,938.6,938.4,938.8,939,938.2,938.1,938.8,937.5,939.1,937.8,939.1,937.8,939,938.4,938,938.6,938,939.1,938.3,939.2
6,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909
7,1010,1010,1009.9,1010.1,1009.9,1009.7,1010,1010,1010,1010,1010,1010,1010,1009.9,1009.9,1010.1,1010,1009.8,1009.9,1010,1009.9,1010,1010.1,1010,1009.9,1009.8,1010,1010.2,1010,1009.9,1010,1010,1010,1010,1009.8,1010,1010,1009.9,1009.8,1009.9,1009.9,1009.8,1009.8,1010,1010,1009.9,1010,1009.8,1010,1009.9
8,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868
9,1123.8,1124.4,1124.1,1123.5,1123.8,1123.8,1123.8,1123.8,1124.1,1123.5,1124.4,1124.7,1124.7,1124.7,1124.4,1124.4,1123.5,1124.1,1123.8,1124.7,1124.1,1124.4,1125,1124.4,1124.1,1124.1,1123.8,1124.1,1124.1,1124.4,1124.7,1124.4,1124.7,1124.1,1124.4,1124.7,1124.7,1124.1,1124.7,1124.4,1124.7,1124.7,1125,1123.8,1124.1,1124.7,1124.4,1124.4,1124.7,1124.4
